Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price,Brand & Model,LitersinEngine,State
Mazda,2017.0,3,Hatchback,2017 Mazda 3 NEO,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,5.8,66188.0,White,"Hendra, QLD",4.0,Hatchback,5.0,5.0,20690.0,Mazda 3,2.0,QLD
Hyundai,2014.0,IX35,SUV,2014 Hyundai IX35 Trophy (fwd),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.4,98824.0,White,"Mornington, VIC",4.0,SUV,4.0,5.0,18990.0,Hyundai IX35,2.0,VIC
Honda,2016.0,HR-V,SUV,2016 Honda HR-V VTI,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,6.6,91022.0,Blue,"Pinkenba, QLD",4.0,SUV,4.0,5.0,20990.0,Honda HR-V,1.8,QLD
Volkswagen,2015.0,Transporter,Commercial,2015 Volkswagen Transporter TDI 340 LWB LOW,USED,Automatic,"4 cyl, 2 L",Front,Diesel,8.2,194392.0,White,"Slacks Creek, QLD",4.0,Commercial,2.0,2.0,25999.0,Volkswagen Transporter,2.0,QLD
Mazda,2014.0,6,Sedan,2014 Mazda 6 Touring,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,6.6,125793.0,Silver,"Eagle Farm, QLD",4.0,Sedan,4.0,5.0,17990.0,Mazda 6,2.5,QLD
Subaru,2012.0,Impreza,Hatchback,2012 Subaru Impreza 2.0I-S (awd),USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,6.8,88910.0,White,"Keysborough, VIC",4.0,Hatchback,5.0,5.0,19470.0,Subaru Impreza,2.0,VIC
Mazda,2017.0,CX-3,SUV,2017 Mazda CX-3 S Touring (fwd),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.1,85552.0,Other,"Essendon Fields, VIC",4.0,SUV,4.0,5.0,25970.0,Mazda CX-3,2.0,VIC
Holden,2012.0,Colorado,Ute / Tray,2012 Holden Colorado LTZ (4X2),USED,Automatic,"4 cyl, 2.8 L",Rear,Diesel,7.8,282153.0,White,"Ravenhall, VIC",4.0,Ute / Tray,4.0,5.0,16999.0,Holden Colorado,2.8,VIC
Mazda,2022.0,3,Sedan,2022 Mazda 3 G20 Evolve,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.1,9120.0,Other,"Brighton, VIC",4.0,Sedan,4.0,5.0,35990.0,Mazda 3,2.0,VIC
Jeep,2018.0,Wrangler,SUV,2018 Jeep Wrangler Unlimited Overland (4X4),USED,Automatic,"6 cyl, 3.6 L",4WD,Unleaded,11.7,79898.0,Black,"Hoppers Crossing, VIC",6.0,SUV,4.0,5.0,57990.0,Jeep Wrangler,3.6,VIC
Toyota,2019.0,Yaris,Hatchback,2019 Toyota Yaris Ascent,USED,Automatic,"4 cyl, 1.3 L",Front,Unleaded,6.4,94115.0,Silver,"Essendon Fields, VIC",4.0,Hatchback,5.0,5.0,20850.0,Toyota Yaris,1.3,VIC
Mazda,2016.0,BT-50,Ute / Tray,2016 Mazda BT-50 XTR (4X4),USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,9.2,118000.0,White,"Underwood, QLD",5.0,Ute / Tray,4.0,5.0,34990.0,Mazda BT-50,3.2,QLD
Nissan,2020.0,Qashqai,SUV,2020 Nissan Qashqai ST,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.9,27660.0,White,"Toowoomba City, QLD",4.0,SUV,4.0,5.0,31995.0,Nissan Qashqai,2.0,QLD
Mitsubishi,2021.0,Triton,Ute / Tray,2021 Mitsubishi Triton GLX (4X4),USED,Automatic,"4 cyl, 2.4 L",4WD,Diesel,8.6,50804.0,White,"Acacia Ridge, QLD",4.0,Ute / Tray,4.0,4.0,59980.0,Mitsubishi Triton,2.4,QLD
Jaguar,1998.0,XJ8,Sedan,1998 Jaguar XJ8 4.0,USED,Automatic,"8 cyl, 4 L",Rear,Premium,16.9,248000.0,Blue,"Aspley, QLD",8.0,Sedan,4.0,5.0,24999.0,Jaguar XJ8,4.0,QLD
Nissan,2014.0,X-Trail,SUV,2014 Nissan X-Trail ST-L (fwd),USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7.9,111032.0,White,"Morningside, QLD",4.0,SUV,4.0,5.0,18290.0,Nissan X-Trail,2.5,QLD
Toyota,2005.0,HiAce,Commercial,2005 Toyota HiAce LWB,USED,Manual,"4 cyl, 2.7 L",Rear,Unleaded,11.6,269000.0,White,"Brooklyn, VIC",4.0,Commercial,4.0,3.0,16499.0,Toyota HiAce,2.7,VIC
Kia,2012.0,Sportage,SUV,2012 Kia Sportage Platinum (awd),USED,Automatic,"4 cyl, 2 L",AWD,Diesel,7.5,174018.0,Other,"Coorparoo, QLD",4.0,SUV,4.0,5.0,14950.0,Kia Sportage,2.0,QLD
Jeep,2009.0,Wrangler,SUV,2009 Jeep Wrangler Unlimited Sport (4X4),USED,Manual,"6 cyl, 3.8 L",4WD,Unleaded,11.8,123556.0,Red,"Archerfield, QLD",6.0,SUV,4.0,5.0,24990.0,Jeep Wrangler,3.8,QLD
GWM,2023.0,Haval,NEW In stock,2023 GWM Haval H6 LUX Hybrid,NEW,Automatic,"4 cyl, 1.5 L",Front,Unleaded,9.8,12.0,White,"Kedron, QLD",4.0,SUV,4.0,5.0,42490.0,GWM Haval,1.5,QLD
Toyota,2017.0,Hilux,Ute / Tray,2017 Toyota Hilux Workmate,USED,Manual,"4 cyl, 2.4 L",Rear,Diesel,7.7,164048.0,White,"Woodridge, QLD",4.0,Ute / Tray,2.0,2.0,21990.0,Toyota Hilux,2.4,QLD
Holden,2018.0,Colorado,Ute / Tray,2018 Holden Colorado Z71 (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,8.7,97436.0,Silver,"Capalaba, QLD",4.0,Ute / Tray,4.0,5.0,34992.0,Holden Colorado,2.8,QLD
Nissan,2009.0,Navara,Ute / Tray,2009 Nissan Navara ST-X (4X4),USED,Automatic,"4 cyl, 2.5 L",4WD,Diesel,10.5,169115.0,Silver,"Bacchus Marsh, VIC",4.0,Ute / Tray,4.0,5.0,17500.0,Nissan Navara,2.5,VIC
